SUBSITE,TRTMT,PLOT,SPP,YEAR,Abundance
CASSIOPE,CTL,Cas.c.c.10new,DRYINT,1995,7
CASSIOPE,CTL,Cas.c.c.10new,DRYINT,2000,8
CASSIOPE,CTL,Cas.c.c.10new,DRYINT,2007,19
CASSIOPE,CTL,Cas.c.c.10new,DRYINT,2016,25
CASSIOPE,CTL,Cas.c.c.10new,DRYINT,2019,19
CASSIOPE,CTL,Cas.c.c.10new,ERIANG,1995,5
CASSIOPE,CTL,Cas.c.c.10new,ERIANG,2000,9
CASSIOPE,CTL,Cas.c.c.10new,ERIANG,2007,6
CASSIOPE,CTL,Cas.c.c.10new,ERIANG,2016,14
CASSIOPE,CTL,Cas.c.c.10new,ERIANG,2019,13
CASSIOPE,CTL,Cas.c.c.10new,LUZARC,1995,4
CASSIOPE,CTL,Cas.c.c.10new,LUZARC,2000,1
CASSIOPE,CTL,Cas.c.c.10new,LUZARC,2016,2
CASSIOPE,CTL,Cas.c.c.10new,LUZARC,2019,2
CASSIOPE,CTL,Cas.c.c.10new,LUZCON,2007,1
CASSIOPE,CTL,Cas.c.c.10new,LUZCON,2019,1
CASSIOPE,CTL,Cas.c.c.10new,OXYDIG,1995,1
CASSIOPE,CTL,Cas.c.c.10new,OXYDIG,2000,4
CASSIOPE,CTL,Cas.c.c.10new,OXYDIG,2007,3
CASSIOPE,CTL,Cas.c.c.10new,OXYDIG,2016,5
CASSIOPE,CTL,Cas.c.c.10new,OXYDIG,2019,8
CASSIOPE,CTL,Cas.c.c.10new,PAPRAD,2000,2
CASSIOPE,CTL,Cas.c.c.10new,SALARC,1995,8
CASSIOPE,CTL,Cas.c.c.10new,SALARC,2000,6
CASSIOPE,CTL,Cas.c.c.10new,SALARC,2007,10
CASSIOPE,CTL,Cas.c.c.10new,SALARC,2016,5
CASSIOPE,CTL,Cas.c.c.10new,SALARC,2019,3
CASSIOPE,CTL,Cas.c.c.10new,XXXBLACKALGAE,1995,2
CASSIOPE,CTL,Cas.c.c.10new,XXXBLACKALGAE,2016,3
CASSIOPE,CTL,Cas.c.c.10new,XXXBLACKALGAE,2019,3
CASSIOPE,CTL,Cas.c.c.10new,XXXDRASPP,2000,1
CASSIOPE,CTL,Cas.c.c.10new,XXXDRASPP,2016,1
CASSIOPE,CTL,Cas.c.c.10new,XXXLICHEN,1995,5
